estagio,projeto,area,etapa,decisao,vpl,tfunil
47,p45.1,1,1,Melhorar,370.8779006205493,1.3333333333333335
47,p46.0,1,1,Abandonar,94.79373456540867,1.0
47,p46.1,0,1,Abandonar,256.1274094935313,1.0
47,p41.0,0,3,Abandonar,9.401593051601285,3.3333333333333335
48,p45.1,1,1,Melhorar,385.02554946743317,1.6666666666666667
48,p47.0,0,1,Melhorar,423.60877363259823,1.0
48,p47.1,1,1,Melhorar,44.489054493041166,1.0
48,p44.0,0,2,Continuar,280.4529981174175,2.0
49,p47.0,0,1,Melhorar,418.26238090753753,1.3333333333333335
49,p47.1,1,1,Continuar,46.26315371801956,1.5
49,p48.0,1,1,Continuar,184.55975120598225,1.0
49,p48.1,1,1,Abandonar,496.9213158330479,1.0
49,p45.1,1,2,Melhorar,388.74152263082266,2.0
49,p44.0,0,2,Continuar,266.51718359607133,2.5
