i,j,custo,Theta_fb0,Theta_fb1,Theta_fb2,Theta_fb3,Theta_fb4,Theta_fb5,silo_0,silo_1,silo_2,silo_3,silo_4,silo_5,silo_6,silo_7,silo_8,silo_9,silo_10,silo_11,silo_12,silo_13,silo_14,silo_15,pos
0,84,233.7,233.7,2989.1749999999997,289.41875,180.5,202.875,5037.375,100,8.5,24.0,0,8.5,21.0,8.5,0,8.5,0,0,0,0,0,0,0,1
0,85,237.5,237.5,3016.7249999999995,292.78125,180.5,201.125,5149.0,100,7.5,23.0,0,7.5,20.0,7.5,0,7.5,0,0,0,0,0,0,0,1
0,86,242.25,242.25,3045.2249999999995,297.09375,180.5,199.375,5249.224999999999,100,6.5,22.0,0,6.5,19.0,6.5,0,6.5,0,0,0,0,0,0,0,1
0,87,247.0,247.0,3074.6749999999997,301.40625,180.5,197.625,5342.8,100,5.5,21.0,0,5.5,18.0,5.5,0,5.5,0,0,0,0,0,0,0,1
0,88,251.75,251.75,3105.075,305.71875,180.5,195.875,5430.2,100,4.5,20.0,0,4.5,17.0,4.5,0,4.5,0,0,0,0,0,0,0,1
0,89,257.45,257.45,3135.475,310.98125,180.5,194.125,5510.0,100,3.5,19.0,0,3.5,16.0,3.5,0,3.5,0,0,0,0,0,0,0,1
0,90,263.15,263.15,3165.875,316.24375,180.5,192.375,5582.2,100,2.5,18.0,0,2.5,15.0,2.5,0,2.5,0,0,0,0,0,0,0,1
0,91,268.85,268.85,3196.2749999999996,321.50625,180.5,190.625,5654.4,100,1.5,17.0,0,1.5,14.0,1.5,0,1.5,0,0,0,0,0,0,0,1
0,92,274.55,274.55,3226.6749999999997,326.76875,180.5,188.875,5717.099999999999,100,0.5,16.0,0,0.5,13.0,0.5,0,0.5,0,0,0,0,0,0,0,1
0,93,278.35,278.35,3246.1499999999996,329.94375,180.5,186.375,5770.3,100,0,15.0,0,0,12.0,0,0,0,0,0,0,0,0,0,0,1
